iter	Passed	Remaining
0	2	226
1	4	232
2	8	287
3	10	261
4	13	247
5	14	233
6	16	220
7	18	212
8	20	204
9	23	209
10	24	202
11	27	199
12	29	199
13	31	195
14	33	190
15	35	185
16	37	183
17	39	181
18	42	179
19	44	177
20	46	175
21	49	177
22	52	176
23	54	173
24	57	173
25	63	180
26	68	185
27	71	182
28	74	181
29	76	178
30	78	174
31	80	171
32	82	167
33	84	164
34	86	160
35	88	156
36	89	153
37	91	149
38	93	146
39	95	142
40	97	139
41	97	134
42	99	131
43	101	128
44	103	125
45	105	123
46	106	120
47	108	117
48	110	115
49	112	112
50	114	109
51	116	107
52	117	104
53	119	102
54	120	98
55	122	96
56	124	93
57	125	91
58	127	88
59	130	87
60	132	84
61	135	82
62	137	80
63	139	78
64	142	76
65	143	74
66	145	71
67	147	69
68	148	66
69	150	64
70	152	62
71	154	60
72	156	57
73	158	55
74	159	53
75	161	51
76	163	48
77	164	46
78	166	44
79	167	41
80	170	39
81	172	37
82	173	35
83	175	33
84	177	31
85	179	29
86	181	27
87	183	25
88	185	22
89	187	20
90	188	18
91	190	16
92	192	14
93	194	12
94	195	10
95	197	8
96	198	6
97	200	4
98	201	2
99	202	0
